,0
PMC7098070,"['As the proteases targeted in our study all specifically cleave the peptide bond followinga P1-glutamine residue (HCoV-NL63 Mpro uniquely also accepts P1 = His at theNsp13/Nsp14 cleavage site31), we decided to use a 5-membered ring(γ-lactam) derivative of glutamine (henceforth called Gln Lactam)as the P1 residue in all our α-ketoamides (see Scheme 1).', 'In nearly all studies aiming at discoveringpeptidomimetic inhibitors of coronavirus Mpros, P2 is invariably isobutyl(leucine), and this residue has also been used in the efforts to design compounds that wouldinhibit enterovirus 3Cpros as well (see above).', 'This is easily explained on the basis of the crystal structures: In theenterovirus 3Cpros, the fluorine can accept a hydrogen bond from Arg39 (ref(30)), whereas in the coronavirus Mpros,there would be electrostatic repulsion from the main-chain carbonyls of residues 186 and188.']"
PMC7099829,"['Higher alanine aminotransferase activity was related to severe 2019 novel coronavirus pneumonia and composite endpoint.', 'Higher aspartate aminotransferase activity was related to severe 2019 novel coronavirus pneumonia and composite endpoint.', 'Higher lactate dehydrogenase activity correlated strongly with severe 2019 novel coronavirus pneumonia and composite endpoint.', 'Higher creatine kinase activity correlated strongly with severe 2019 novel coronavirus pneumonia and composite endpoint.', 'DiscussionAccording to the results of our study, higher temperature, blood leukocyte count, neutrophil count, neutrophil percentage, C-reactive protein level, D-dimer level, alanine aminotransferase activity, aspartate aminotransferase activity, α - hydroxybutyrate dehydrogenase activity, lactate dehydrogenase activity and creatine kinase activity were related to severe 2019 novel coronavirus pneumonia and composite endpoint, and so were lower lymphocyte count, lymphocyte percentage and total protein level.', 'Age below 40 or above 60 years old, male, higher Creatinine level, and lower platelet count also seemed related to severe 2019 novel coronavirus pneumonia and composite endpoint, however the P values were greater than 0.05, which mean under the same condition studies of larger samples are needed in the future.', 'However, we didn’t see an obvious difference in creatinine level between severe group and non-severe group.', 'Besides, higherα- hydroxybutyrate dehydrogenase activity, lactate dehydrogenase activity and creatine kinase activity were related to severe cases and reach of composite endpoint.']"
PMC7100515,"['HEK 293/hACE2 cells were treated with lysosomotropic agents, ammonia chloride and bafilomycin A, and their effect on virus entry was evaluated.', 'Cell–cell fusion mediated by SARS-CoV-2 S protein ::: ResultsType II membrane serine proteases (TMPRSS)-mediated cleavage can activate the fusion potential of SARS-CoV and MERS-CoV S protein and induce receptor-dependent syncytium formation28,29,38,39.', 'Large syncytia were formed at a level similar to SARS-CoV S proteins when SARS-CoV-2 S protein expressing 293T cells were added onto 293/hACE2 cells with trypsin.', 'Of note, SARS-CoV-2, but not SARS-CoV, S proteins induced syncytia formation on 293/hACE2 cells even in the absence of trypsin (Fig.', 'Trypsin could also activate SARS-CoV-2 S protein efficiently and induce large syncytium formation.', 'To our surprise, we found that, even without trypsin, SARS-CoV-2 S protein could trigger syncytium formation on 293/hACE2 cells, a phenomena similar to what was observed in MHV S protein in certain aspect51.', '53 reported that human ACE2 is the entry receptor of SARS-CoV-2, and that serine protease TMPRSS2 is important for SARS-CoV-2 S activation, consistent with our findings.', 'To pellet down pseudovirions, the viral supernatants were centrifuged at 25,000 rpm for 2 h in a Beckman SW41 rotor at 4 °C through a 20% sucrose cushion, and virus pellets were resuspended into 30 μl RIPA buffer.']"
PMC7103671,"['The WHO also recommends the isolation of patients suspected or confirmed for COVID-19.16 The major therapeutic drugs that might be effective in managing COVID-19 include remdesivir, lopinavir/ritonavir alone or in combination with interferon-β, convalescent plasma, and mAbs.', 'Combination therapy with mAbs and the drug remdesivir could be an ideal therapeutic option for COVID-19.40 Further evaluation is required before confirming the efficacy of such combination therapy.', 'Some of these agents are in phase III trials for COVID-19, including remdesivir, oseltamivir, ASC09F (HIV protease inhibitor), lopinavir, ritonavir, darunavir, and cobicistat.', 'Furthermore, RNA synthesis inhibitors (like 3TC, TDF), remdesivir, neuraminidase inhibitors, peptide (EK1), anti-inflammatory drugs, abidol, Chinese traditional medicine, such as Lianhuaqingwen and ShuFengJieDu Capsules, could be the promising COVID-19 treatments.', '10 As an early attempt to evaluate these repurposed drugs in COVID-19, a controlled trial of ritonavir-boosted lopinavir and interferon-α 2b therapy has been registered for hospitalized patients in China (ChiCTR2000029308).76Oral administration of neuraminidase inhibitors such as oseltamivir has been used as an empirical drug for COVID-19 suspected cases in China hospitals even though there is no evidence of its efficacy.', '2 Recently, the in vitro antiviral efficacy of approved drugs such as ribavirin, penciclovir, nitazoxanide, nafamostat, and chloroquine was compared with that of the two broad-spectrum antiviral drugs remdesivir and favipiravir for COVID-19.', 'Among the evaluated drugs, both remdesivir and chloroquine were found to be highly effective in controlling COVID-19 in vitro.', '63 The study also pointed out that the three nucleoside analogs such as ribavirin, penciclovir, and favipiravir may not have significant in vivo antiviral effects against COVID-19 since higher concentrations were required to reduce the viral infection in vitro.', 'Both remdesivir and chloroquine are being used for the treatment of other diseases and have a well-defined safety profile.', 'Results obtained from the recently conducted in vitro study against COVID-19 are promising since the drugs remdesivir and chloroquine were found to be highly effective in controlling the infection.']"
PMC7103724,"['Laboratory test ::: MethodsLaboratory test results were compiled, including standard blood counts, blood biochemistry, C-reactive protein (CRP), procalcitonin (PCT), erythrocyte sedimentation rate(ESR), Interleukin-6 (IL-6) and myocardial enzyme spectrum.']"
PMC7103766,"['These genomes were assembled from many short cDNA clones and, when completed, indicated that the genome was ∼30 kb, significantly longer than had been estimated previously by sucrose gradient centrifugation, and that it was the longest of any known RNA virus.', 'Indeed, current trials with the antiviral remdesivir, which targets the conserved RNA-dependent RNA polymerase, may indeed be active against a large number of coronaviruses (Agostini et al., 2018).']"
PMC7108679,"['Conversely, angiotensin II is known to stimulate alveolar epithelial cell apoptosis, and inhibition of this with angiotensin receptor 1 blockers such as losartan might reduce mortality from acute respiratory distress syndrome in COVID-19 infection (13).', 'Perhaps justifying greater excitement is the downstream transmembrane protease serine 2 required for SARS-CoV-2 viral spike protein priming and onward transmission (14).', 'Camostat mesylate, a transmembrane protease serine 2 inhibitor, has been approved in Japan for the treatment of pancreatic inflammation and when tested on SARS-CoV-2 isolated from a patient prevented the entry of the virus into lung cells.']"
PMC7112957,"['In India, the selective use of hydroxychloroquine for prophylaxis among high-risk healthcare professionals and caregivers has been recently approved by the Indian Council of Medical Research (ICMR).']"
PMC7113449,"['Hence, COVID-19 patients would benefit from the administration of antiviral medications (nucleotide inhibitors, Human Immunodeficiency Virus (HIV) nucleoside reverse transcriptase inhibitor (NRTI), HIV non-nucleoside reverse transcriptase inhibitor (NNRTI), HIV protease inhibitor (PI), dextran sulfate, and combination therapy, etc.)']"
PMC7113450,"['While their effects are yet to be proven by clinical trials, agents such as lopinavir/ritonavir, interferon, chloroquine, and remdesivir have been used for treatment [89].']"
PMC7117069,"['For the endoscopy center environment, UV irradiation and ozone treatment are recommended for the cleaning and sterilization of air and all surfaces, such as endoscopic equipment, office tables, and walls of the examination room.']"
PMC7117596,"['Therapeutic implications: tocilizumab & the risk of hasty conclusionsSince its first outbreak in China, COVID-19 was empirically treated with antiviral therapy, first employing agents already used in prior severe acute respiratory syndrome epidemics [18].', 'Then, several randomized clinical trials were initiated in China and more recently in Italy, investigating different treatment options, varying from classical antiviral drugs as lopinavir/ritonavir, to newer antiviral as remdesivir, to unconventional agents such as chloroquine and hydroxychloroquine [19].', 'The latest treatment frontier against COVID-19 seems to be represented by a recombinant humanized monoclonal antibody, named tocilizumab, which binds the human IL-6 receptor, inhibiting its signal transduction [20].', 'Tocilizumab is currently used for rheumatoid arthritis, but its efficacy has been demonstrated also against ICI-induced irAEs, starting from the rationale of an ICI-induced systemic inflammatory response syndrome similar to CRS [21].', 'In fact, one can argue that the alleged tocilizumab efficacy both for treating COVID-19 and irAEs might suggest a potentially increased danger from SARS-CoV-2 infection for ICI-treated patients, maybe hypothesizing a synergy in the promotion of the viral morbidity.', 'Third, the efficacy of tocilizumab for COVID-19 is still under investigation, with still unexplored backstage and with uncomfortable upstream evidence coming from the setting of influenza infection.', 'Thus, hoping for positive results from tocilizumab randomized clinical trial on COVID-19 patients, we could only argue about the evident diversity of this viral infection from previous SARS outbreaks and even more from influenza epidemics, probably both in terms of clinical features and of pathogenetic implications.']"
PMC7118126,"['By conjugating the cholesterol molecule to the EK1 peptide, we found that one of the lipopeptides, EK1C4, exhibited highly potent inhibitory activity against SARS-CoV-2 S-mediated membrane fusion and PsV infection, about 240- and 150-fold more potent than EK1 peptide, respectively.', 'However, with the Lys-Ser replacement, S929 in SARS-CoV-2 binds to S1196 through a strong hydrogen bond 2.4 Å in distance.', 'On the basis of the structure of EK1C, series of cholesteryl EK1 with multiple linkers were constructed, where the glycine/serine-based linker, i.e., GSG, or PEG-based spacer was employed between EK1 and the cholesterol moiety (Fig.', 'Consistently, in the cell–cell fusion system, SARS-CoV-2 S protein could effectively mediate the formation of syncytium between the effector cell and the target cell in the absence of an exogenous proteolytic enzyme, e.g., trypsin, while SARS-CoV S protein could not.', 'When K991 in SARS-CoV HR1 was replaced with S929 in SARS-CoV2 HR1, a new, strong hydrogen bond was formed with a distance of 2.4 Å. K933 forms a new interaction with N1192 in SARS-CoV-2 with a distance of 2.7 Å, whereas the corresponding position in SARS-CoV has no such interaction.', 'A recent study also found that the binding affinity between ACE2 receptor on the host cell and RBD in S protein of SARS-CoV-2 is more than 10-fold higher than that of SARS-CoV, which may also be associated with the increased infectivity and transmissibility of SARS-CoV-2.12The conjugation of cholesterol to viral entry inhibitor has been proved to be an effective strategy to enhance the antiviral activity, such as C34 peptide for HIV-1.28 However, the mechanism of this enhancement, especially the role of cholesterol group in the C-terminal tail of entry inhibitor, is still unclear.', 'There is a possibility that the cholesterol group could anchor to the target membrane to facilitate the binding of inhibitor to the HR1 targets.', 'A number of nonspecific antiviral drugs, including IFN, lopinavir-ritonavir (HIV protease inhibitors), chloroquine, favipiravir (T-705) and remdesivir (GS-5734), have been used in clinics in China to treat SARS-CoV-2 infection.', 'All of these cell lines were maintained and grown in Dulbecco’s Modified Eagle’s Medium (DMEM, Invitrogen, Carlsbad, CA, USA) containing 100 U/ml penicillin, 100 mg/ml streptomycin, and 10% heat-inactivated fetal calf serum (FCS) (Gibco).Patient-derived COVID-19 (BetaCoV/Wuhan/WIV04/2019) was isolated by the Wuhan Institute of Virology.', 'For SARS-CoV S-, SL-CoV S-, OC43 S- or NL63 S-mediated cell–cell fusion assays, effector cells and target cells were cocultured in DMEM containing trypsin (80 ng/mL) for 4 h, while for SARS-CoV-2 and MERS-CoV S-mediated cell–cell fusion assays, effector cells and target cells were cocultured in DMEM without trypsin but 10% FBS for 2 h. After incubation, five fields were randomly selected in each well to count the number of fused and unfused cells under an inverted fluorescence microscope (Nikon Eclipse Ti-S).', 'After adsorption at 37 °C, the supernatant was removed, and 0.9% methyl cellulose was overlaid on the cells.', 'Expression and purification of fusion protein HR1-L6-HR2 of SARS-CoV-2 ::: Materials and methodsThe coding sequences of HR1 (residues 910–988) and HR2 (residues 1162–1206) domains of SARS-CoV-2 S2 subunits were tandem linked though a 6-residue linker (L6: SGGRGG).']"
PMC7118345,['The threat of COVID-19 has required healthcare services to react and adapt their working patterns.']
PMC7121446,"['Second, lopinavir simply isn’t particularly potent against SARS-CoV-2.']"
PMC7121452,"['In addition, paired trials of losartan as a treatment for Covid-19 are being conducted among patients who have not previously received treatment with a RAAS inhibitor and are either hospitalized (NCT04312009) or not hospitalized (NCT04311177).', 'Although rates of heart failure have been infrequently reported in epidemiologic reports from China to date, the prevalence of heart failure among critically ill patients with Covid-19 in the United States may be high (>40%).59 In the Quinapril Heart Failure Trial, among patients with chronic symptomatic heart failure, withdrawal of quinapril resulted in a progressive decline in clinical status.']"
PMC7121492,"['Whether the EC50 value is an adequate threshold and whether unbound lopinavir concentrations in human plasma are sufficient for inhibition of SARS-CoV-2 are questionable.', 'In addition, approximately 45% and 40% of the patients in lopinavir–ritonavir group had positive RNA detection by throat swabs on day 14 and day 28, respectively, but we do not know if infectious virus was still present, since we did not attempt virus isolation or assess the possible emergence of SARS-CoV-2 variants with reduced susceptibility to lopinavir.', 'Finally, we do not have data on the lopinavir exposure levels in these seriously and often critically ill patients.']"
PMC7132016,"['Most of these infected patients had mild-to-moderate elevations of serum alanine aminotransferase (ALT) or aspartate aminotransferase (AST) levels; one patient had severely elevated serum aminotransferases (ALT of 7590 U/L, AST of 1445 U/L).5 Since COVID-19-related liver dysfunction is now attracting widespread attention, this review discusses the epidemiological characteristics, the potential mechanisms, and the treatment options for liver dysfunction induced by COVID-19.', 'Most of these medications contain acetaminophen, which is a drug recognized as being able to cause significant liver damage or induce liver failure.', '25 In addition, although there is currently no targeted antiviral treatment for COVID-19, many infected patients have also been treated with some antiviral drugs, such as oseltamivir, abidol or lopinavir, which may have some hepatotoxic effects.']"
PMC7132021,"['2 Among 99 cases with COVID-19 from Wuhan, 43 cases (43.4%) had increased serum levels of alanine aminotransferase (ALT), aspartate aminotransferase (AST), and lactic dehydrogenase.', 'Peripheral blood levels of Th17 and CD8 T cells, interleukin-2, interleukin-6, interleukin-7, interleukin-10, tumor necrosis factor-α, granulocyte-colony stimulating factor, interferon-inducible protein-10, monocyte chemotactic protein 1, macrophage inflammatory protein 1 alpha in severe patients were significantly higher than those in control patients.', 'oseltamivir, abidol, and lopinavir/ritonavir.']"
PMC7133387,"['All 74 patients with COVID-19 with GI symptoms were treated in isolation with supportive and empiric medication, while 66 (89.19%) patients received antiviral treatment, including interferon-α sprays, arbidol hydrochloride capsules (two tablets three times daily), lopinavir and ritonavir two tablets (500 mg) twice daily, via the oral route.', 'When compared with mild and common COVID-19, initial univariate analysis of epidemiological, clinical and laboratory variables identified 11 significantly changed risk factors for severe/critical COVID-19, including increased ORs of age, age ≥50 years, period between illness onset and hospital visit, sputum production, any existing medical condition, multiple lung infection, ALT, lactate dehydrogenase (LDH), glucose and CRP, as well as decreased OR of the infected area (online supplementary table 1).']"
PMC7139703,"['Unsymmetrical aromatic disulfides obtained from monothiolated compounds inhibit the SARS-CoV Mpro (an important target to fight severe acute respiratory syndrome-associated coronavirus, SARS-CoV) probably by interacting with the catalytic cysteine containing the protease Mpro [62].']"
PMC7141586,"['The CDC website has a wide range of information for health professionals on a number of topics, including clinical care (eg, availability of investigational therapeutics such as remdesivir), infection control, guidance for evaluating persons suspected of having COVID-19, and inpatient obstetric health care guidance, among others.']"
PMC7144318,"['Cells and samples ::: Materials and methodsHepG2 (American Type Culture Collection [ATCC], HB-8065), Huh-7 (Japanese Collection of Research Bioresources [JCRB], 0403), 293T (ATCC, CRL-3216), Vero (ATCC, CCL-81), CHO (ATCC, CCL-61), and MDCK (ATCC, CCL-34) cells were maintained in high glucose DMEM (GIBCO) supplemented with 10% FBS (GIBCO), penicillin (100 IU/ml), streptomycin (100 μg/ml), and HEPES (20 mM) in a 5% CO2 environment at 37°C and passaged every 2–3 days.', 'Western blot analysis ::: Materials and methodsSeven millilitres of SARS-CoV-2 pseudoviruses with a titre of 1.86 × 105 TCID50/ml were pelleted through a 25% sucrose cushion by ultra-centrifugation at 100,000× g for 3 h. The layers of supernatant and sucrose were removed, and the resulting viral pellets were re-suspended in 100 μl PBS.']"
PMC7144545,"['A multicentre randomised controlled trial to test a monoclonal antibody against the IL-6 receptor (tocilizumab, Roche) in patients with COVID-19 pneumonia and elevated IL-6 has been conducted in China with promising results (ChiCTR2000029765).', 'Based on these results, a phase II clinical trial to test the efficacy of tocilizumab in 330 Italian patients with COVID-19 pneumonia has been approved by the Italian Medicines Agency (https://www.agenziafarmaco.gov.it/en) and a phase III clinical trial enrolling 330 patients globally has been announced in the US (https://www.roche.com/media/releases/med-cor-2020-03-19.htm).']"
PMC7147755,"['In the context of the SARS-CoV-2 pandemic, future work is needed to assess the efficacy of an ozone treatment in order to reduce the transmission of this virus in hospital settings and other indoor public spaces.']"
PMC7151655,"['Emetine, and perhaps ipecac, ipecac alkaloids and their analogues, should be considered as potentially potent and effective therapeutic agents against the coronavirus family of viruses and, in particular, the COVID-19 coronavirus.', 'As an antiviral, emetine has been shown to have amongst the lowest EC50 value (half-maximal effective concentration) from over 294 agents screened, with an EC50 of 0.054 and 0.014 μM for the severe acute respiratory syndrome (SARS) and the Middle East respiratory syndrome (MERS) coronaviruses, respectively [2,3].', 'Outlined here is the rationale for the potential use of emetine or similar compounds in the treatment of coronavirus infections and, if confirmed from in vitro sensitivity analyses, COVID-19.Emetine, as an isolated alkaloid, was used as an anti-infective agent from 1912 when Vedder [4] showed that the drug killed amoebae in vitro.', 'It was one of the most widely used agents, orally or intramuscularly, in the treatment of both intestinal and extraintestinal amoebiasis [5,6,7,8] until metronidazole became available [5].', 'Intramuscular administration of emetine can also result in nausea and vomiting [12] which, based on studies with ipecac syrup [10], are likely to be negated with the concomitant use of a 5-HT3 antagonist.', 'In relation to the coronaviruses, emetine activity against four strains of coronavirus had EC50 values ranging from 0.12 to 1.43 μM, with the MERS coronavirus EC50 being 0.34 μM [22].', 'While this EC50 for the MERS virus is higher than in previous studies [3], it does indicate that emetine is highly active against multiple coronaviruses.', 'Considering the substantially higher potency that emetine appears to have against the coronavirus, doses of one fifth to one tenth of the doses used for the treatment of amoebiasis (0.1–0.2 mg/kg, intramuscularly; maximum 6-12 mg/day) could potentially be used.', 'If it was used in patients, it is beyond the scope of this article to suggest at which stage in the disease process an agent such as emetine should be used to treat coronavirus infection.', 'A related compound to emetine that should be tested in vitro for coronavirus sensitivity is dehydroemetine, which was developed in response to the cardiovascular toxicity associated with emetine.', 'Dehydroemetine is structurally similar to emetine but is recognised as having a lower cardiovascular risk profile then emetine [18] and has been used as a replacement for many years.', 'At present, emetine has advantages which, when considered together, make it an attractive candidate: it significantly inhibits two coronaviruses in the low nano-molar range; it potentially achieves satisfactory plasma levels when administered orally; and it produces substantially higher concentrations in affected tissues (the lungs) that are known to effectively treat Entamoeba histolytica infections, which have inhibitory concentrations hundreds of times higher than at least two coronaviruses.', 'Given the serious and immediate threat that the COVID-19 virus poses, our long if not partially forgotten history with emetine and dehydroemetine, and the likely ability of emetine to reach therapeutic concentrations within the lungs, ipecac, emetine, and other analogues should be considered as potential treatment options, especially if in vitro studies confirm that the COVID-19 virus is sensitive to these agents.']"
PMC7152526,"['He admitted to the local public medical center and 400 mg of hydroxychloroquine once daily was started.', 'The next day, she was admitted to a local public medical center and received hydroxychloroquine 400 mg once daily and lopinavir/ritonavir 400 mg/100 mg twice daily with empirical antibiotics.', 'As can be seen in the two cases, both received lopinavir/ritonavir and hydroxychloroquine but showed persistent fever, rapidly aggravated hypoxemia and progressive bilateral infiltrations in accordance with the criteria of severe ARDS.', '10 The recent article about risk factors associated with ARDS and death among COVID-19 patients showed that treatment with methylprednisolone might be beneficial to reduce the risk of death for patients developing ARDS.11 However, corticosteroids are also thought to inhibit proper immune responses and viral clearance and delay antibody production.']"
PMC7153046,"['4 Translating the known aboutthe severe acute respiratory syndrome coronavirus (SARS-CoV), it hasbeen shown that full interaction of the virus with the ACE2 receptoris enabled once the viral spike protein is cleaved by surface proteases,namely, transmembrane serine protease 2 (TMPRSS2),5 although some findings argue against the strict necessityof the step.', 'Exosomalcellular transport has also been shown as a mode of systemic viraldissemination, and it could include SARS-CoV-2.20 Following SARS-CoV-2 infection and immune activation, CD4+ T-cells produce granulocyte-macrophage colony-stimulatingfactor which further induces macrophage lines to secrete interleukin-6(IL-6), occasionally causing a vicious cycle of cytokine storm, amost concerning clinical presentation.']"
PMC7153431,"['On hospital day 2, painful, irregular contractions began and labor was augmented with oxytocin.']"
PMC7153919,"['3In practice, the healthcare system cannot sustain an uncontrolled outbreak, and stronger containment measures are now the only realistic option to avoid the total collapse of the intensive care unit (ICU) system.', 'In view of the aforementioned information, clinical evidence and common sense should prevail in decision making.']"
PMC7155903,"['We empirically start antiviral therapy with arbidol hydrochloride, oseltamivir, and ribavirin by mouth.']"
PMC7155907,"['Ethyl ether, 75% ethanol, chlorine disinfectant, peracetic acid, and chloroform are effective in inactivating the virus.']"
PMC7155908,"['Appropriate sedation and analgesia, such as dexmedetomidine, propofol and remifentanil infusion, are warranted.']"
PMC7155909,"['12 Major cardiology societies do not recommend changing renin angiotensin aldosterone system antagonist treatments based on COVID-19 risk at this time.', '15 Nonetheless, COVID-19 strongly induces cytokines and chemokines including interleukin-2, interleukin-4, interleukin-7, interleukin-8, interleukin-10, interferon-γ, tumor necrosis factor-α, and macrophage inflammatory protein-1-α, suggesting a broad type 1 and type 2 helper T-cell response.']"
PMC7156057,"['One of these agents is a broad spectrum coronavirus protease inhibitor, GC376 [48], while the other is an adenosine nucleoside analogue, GS-441524 [4, 5].']"
PMC7156252,"['Chloroquine (CQ) was unequivocally demonstrated to have in vitro inhibiting effects on SARS-CoV-2 infection8 and was precociously publicized as having a beneficial effect in COVID-19 patients after a study conducted in Marseille, France showed a viral load reduction in COVID-19 patients9.', 'CQ sulfate and phosphate salts and hydroxychloroquine (HCQ) have both been used as antimalarial drugs for decades.']"
PMC7156579,"['To prevent and control postpartum infection, the patient was given an intravenous injection of azithromycin, oral Lianhua Qingwen capsules (Chinese medicine), and oseltamivir antiviral drugs.']"
PMC7156806,"['When asked which treatments their patients with SCI/D and COVID had been offered, 82.8% replied, “strict isolation/quarantine,” 58.6% “emergency room level care/hospitalization,” 20.7% “over the counter medications for symptom relief,” and 27.6% “hydroxychloroquine and/or azithromycin.” Two respondents reported that they had referred their patients to a centralized COVID-19 hospital.']"
PMC7156898,['The patients with severe COVID-19 also showed higher creatine kinase-MB (CK-MB) and hypersensitive troponin I (hs-TnI) levels than others [7].']
PMC7156906,"['Growth of AF18 in co-cultures and its transcriptional regulation ::: ResultsTo disentangle the respective contribution of AF18 and the sensitive K. pneumoniae in the co-infection, we co-cultivated the two strain in various concentration of ceftriaxone, and found that addition of 1% of AF18 was able to elevate the MIC from 0.125 μg/ml of pure K. pneumoniae culture to 64 μg/ml.']"
