"label","sentence"
0,"However, as instructed by the Guideline for the Diagnosis and Treatment of Novel Coronavirus Pneumonia (the 5th edition) released by the National Health Commission of the People’s Republic of China, chlorhexidine, which is commonly used as mouthrinse in dental practice, may not be effective to kill 2019-nCoV."
2,"Like Remdesivir, these nucleotide analogs are proposed to inhibit the viral RdRp through non-obligate RNA chain termination, a mechanism that requires the conversion of the parent compound to the triphosphate active form (33)."
2,"There was a single SAE potentially attributed to remdesivir, which was infusion-related hypotension in a 41-year-old man (50) .Published data describing use of remdesivir for COVID-19 include a case report and case series (60) (61) (62) ."
4,"The antimalarials hydroxychloroquine (HCQ) and chloroquine (CQ) have demonstrated antiviral activity against severe acute respiratory syndromecoronavirus 2 (SARS-CoV-2) in vitro and in small, poorly controlled or uncontrolled clinical studies (1) (2) (3) ."
2,"In our ternary structure, this water molecule resides 3 Å from the target 2'-OH of the A1 base ribose and remains unperturbed in the ternary structure of SARS-CoV-2 (present study) and binary structures (SAM/SAH-bound) of SARS-CoV-1 8, 14 nsp16."
2,"With this brief note we want to report our experience regarding the management of patients with advanced basal cell carcinoma (BCC) in treatment with the hedgehog pathway inhibitors (HhI) (sonidegib and vismodegib) during COVID-19 period, the preventive measures adopted, and patients' adherence to treatment."
2,"Here, we investigated the efficacy of remdesivir treatment in our recently established rhesus macaque model of SARS-CoV-2 infection."
2,"Additional agents that are under study include emtricitabine/tenofovir and ribavirin (128, 130) ."
4,"Dipyridamole is an FDA-approved drug that our group recently discovered to inhibit NET formation by activation of adenosine A2A receptors (6) ."
4,"his analysis provides a rational dose optimisation for nitazoxanide for treatment and prevention of 341 COVID-19."
0,"However, critically ill cases had more signs of 410 infection and abnormal laboratory findings, including high leukocyte, high procalcitonin, high 411 d-dimer, low albumin, and high creatinine levels."
2,"We undertook a systematic review and meta-analysis investigating IL-6 dysregulation in patients diagnosed with COVID-19, and the potential role of IL-6 suppression with the administration of tocilizumab."
4,"Tocilizumab was approved for the treatment of CRS in 2017."
4,"Tocilizumab and sarilumab are monoclonal antibodies against the IL-6 receptor that are currently being considered for use in patients with COVID-19, who develop cytokine release syndrome (CRS) (20) ."
4,"In early February, Wang et al [3] demonstrated potent in vitro activity of chloroquine against SARS-CoV-2 with an EC50 at 48 hours of 1.13 µM in Vero E6 cells."
2,"The findings from these uncontrolled data will be informed by the ongoing randomized, placebo-controlled trials of remdesivir therapy for Covid-19."
4,"Remdesivir could effectively fight against the new coronavirus"
0," however, ribavirin is invalid."
2,"Patient started oxygen therapy, Hydroxychloroquine and Azithromycin."
2,"This 196 phenomenon is primed by the multifunction serine protease TMPRSS2 20 ."
4,"In conclusion, we have provided evidence of a beneficial effect of co-administration of hydroxychloroquine with azithromycin in the treatment of COVID-19 and its potential effectiveness in the early reduction of contagiousness."
2,"We incorporated glutamine at the P1 position, because the available crystal structures of SARS-CoV M pro revealed that only glutamine (and, at a very small number of cleavage sites, histidine) residue can occupy the S1 pocket of this enzyme."
2,"However, in a recent report of case-series from critical ill patients in the Seattle region, no cardiac dysfunction was detected by echocardiograms 29 Pneumonia is a highly proinflammatory disease 28 , and elevated levels of cytokines, which included C-reactive protein (CRP), interleukin-6(IL-6), interleukin-8 (IL-8), interleukin-10(IL-10), procalcitonin, interleukin-1beta(IL-1β), Tumor necrosis factor-alpha(TNF-α), Interleukin-10(IL-10), have been detected in COVID-19 patients, especially in ICU patients 19, 33, 34 ."
2,"With the same cohort, we have included readings related to emerging research on the coronavirus, for instance, the RCT on Hydroxychloroquine and Azithromycin was added to the readings and discussion on RCTs and measurement of clinical outcomes."
4,"All surfaces including standard floor, walls, and objects in COVID-19 isolation areas should be disinfected with solutions that have 1000 mg/L chlorine."
2,"Intriguingly, baricitinib inhibits the AP2-associated protein kinase 1 (AAK1) that is a regulator of endocytosis that the SARS-CoV-2 uses to infect lung cells through binding with ACE2."
4,"A small (n=36), non-randomized clinical trial that investigated the use of chloroquine/azithromycin reported that hydroxychloroquine was efficient in clearing viral nasopharyngeal carriages of SARS-CoV-2 in French patients with COVID-19 in only three to six days."
2,"The possibility of under-diagnosis due to muscle pains being a common symptom of COVID-19 as well as creatine kinase (CK) and myoglobin levels not being routinely tested is also highlighted in the letter."
0,"Recent reports of a potential harm with ibuprofen in patients with COVID-19 has received significant international media coverage."
2,"Moreover, 2019-nCoV likely does not use mouse or rat ACE2 as its receptor because mouse or rat ACE2 contains a histidine at the 353 position, which does not fit into the virus-receptor interaction as well as a lysine does (Fig."
0,"Our study suggested that tocilizumab use prior to ventilation in ICU may be optimal since 50% of such cases died, remain ventilated and serious superinfection."
2,"She remained hemodynamically stable and was transitioned to oral anticoagulant therapy (apixaban) with plans to continue anticoagulation for 6 months."
4,"The polymorphism that replaces Y83 with a polar histidine will compromise the hydrophobic character of this unique pocket in addition to removing a polar contact with N487 ( Supplementary Figure 5b) , potentially offering selective protection from the SARS CoV-2 infections."
4,"Also shown are the putative mechanisms of action for bromhexine and hydroxychloroquine in attenuating upstream SARS-CoV-2 tissue binding, the effect of antivirals on replication, azithromycin as an antiviral and immunomudulator, nonspecific cytokine suppression by corticosteroids, together with the selective downstream effect of IL-6 blockade with tocilizumab or sarilumab and effects of anti-TNF and interferon beta-1-a."
4,"In the AMI group, in addition to antiviral and antibiotic therapies, cardioprotective medications such as amiodarone and cedilla were used by four patients to improve the cardiac function."
4,"Chloroquine, an antimalarial, antiamoebic, immunomodulatory, and a potential broad-spectrum antiviral drug, is being reported to be effective in COVID-19."
4,"Moreover, in vitro evidence indicates that TMPRSS2 inhibition by camostat mesylate may be beneficial to prevent the infection of SARS-CoV-2 15 .TMPRSS2 is highly expressed in both localized and metastatic prostate cancers 17, 18 and its transcription is regulated by the androgen receptor (AR) 17 ."
2,"Our simulations go beyond the other models published, indicating that earlier virologic negativization should not be expected when hydroxychloroquine is administered at dosages of 400 mg/day but only at dosages of 600 mg/day, i.e.within the narrow therapeutic window."
4,"Diltiazem is a voltage gated 170 Ca2+ channel antagonist currently used as anti-hypertensive for the control of angina pectoris and cardiac arrhythmia (26) , which we have recently repurposed as an effective host-directed influenza inhibitor due to its so far undescribed capacity of inducing the interferon (IFN) antiviral response, particularly type III IFNs (Fig."
2,"Also, HIV-1 protease bounded to lopinavir under PDB code 1MIU and Bat HKU4 coronavirus PDB code 2YNB were evaluated."
2,"Neutrophil, neutrophil-to-lymphocyte ratio (NLR), fibrinogen, sialic acid (SA), C-reaction protein (CRP), IL-6, interleukin-10 (IL-10) and interferon-γ (IFN-γ) in the severe group were significantly higher than those in the non-severe group (P<0.05).While lymphocyte%, lymphocyte count and platelet count were significantly lower in the severe group when compared with the non-severe group (P<0.05)."
2,"To optimally inform our appraisal of the quality of COVID-19 research, we searched the MEDLINE and EMBASE electronic databases to identify clinical studies on the use of these agents in COVID-19 (2019 to April 3 rd , 2020), finding 564 initial citations that were screened for eligibility, yielding six clinical studies judged eligible (5) (6) (7) (8) (9) (10) .Based on the quality of the evidence to date, can a clinical practice guideline issue any recommendations on the use of chloroquine or hydroxychloroquine alone or combination with other treatments?"
0,"However, a sufficiently powered case-control study has not yet been reported, and thus it is unclear if there are therapeutic benefits of chloroquine administration to SARS-CoV-2-infected patients, although several concerns are being raised recently, due to the severe cardiac complications potentially resulting from the use of this treatment in COVID-19 patients 17, 18 .The repurposing of several approved antiviral therapies have all been the focus of clinical investigations, including HIV-1 protease inhibitors lopinavir/ritonavir (Kaletra, Aluvia by AbbVie) 19 , hepatitis C virus protease inhibitor danoprevir (Ganovo, Ascletis Pharma) 20 , and the influenza antiviral favipiravir (T-705, Avigan) 21 ."
2,"hydroxychloroquine + azithromycin and lopinavir/ritonavir) under investigation and/or in use clinically are known to prolong the QTc and pre-dispose to DI-TdP/DI-SCD ( Table 2) ."
2,"On hospital day 2, painful, irregular contractions began and labor was augmented with oxytocin."
2,"Ribavirin and interferon are also mentioned in the COVID-19 Diagnosis and Treatment Plan; 2 in the present study, four patients in the mild group (7·27%) were administered ribavirin combined with antiviral therapy."
2,"The ReFRAME library has previously been used to successfully identify the anti-inflammatory auranofin as a potential therapy for tuberculosis 29 , the approved drug clofazimine as a potent antiparasitic compound that is now being tested for efficacy against Cryptosporidium 30 , and has also been used to identify and optimize the FDAapproved antifungal drug itraconazole as a novel efficacious molecule suitable for chronic administration as an anti-fibrotic 31 ."
4,"This study meticulously evaluated the various dosages of chloroquine and hydroxychloroquine utilized in clinical trials registered in Chinese and US clinical trial registries for the treatment of pneumonia caused by SARS-CoV-2."
4,"The results suggest the effectiveness of Sofosbuvir, IDX-184, Ribavirin, and Remidisvir as potent drugs against the newly emerged HCoV disease."
4,"AbstractThree anti-HIV drugs, ritonavir, lopinavir and darunavir, might have therapeutic effect on coronavirus disease 2019 (COVID-19)."
4,"Potential treatments included remdesivir, chloroquine, tocilizumab, convalescent plasma and vaccine immunization (when possible). "
2,"Treatments, including antiviral agents, chloroquine and hydroxychloroquine, corticosteroids, antibodies, convalescent plasma transfusion and vaccines, are discussed in this article. "
4,"Several drugs such as chloroquine, arbidol, remdesivir, and favipiravir are currently undergoing clinical studies to test their efficacy and safety in the treatment of coronavirus disease 2019 (COVID-19) in China; some promising results have been achieved thus far. "
2,"This article reviews the influences of cytokine storm syndrome on the COVID-19 and the corresponding immunotherapies to resist cytokine storm. "
2,"Cases of chloroquine-related toxicity have been reported elsewhere, but have not been observed in our hospital so far. "
4,"For this emergency, the FDA has approved Remdesivir and Hydroxychloroquine for treatment of COVID-19 as Emergency Use Authorization."
4,"Additionally, the newly emerged Wuhan HCoV RdRp model is targeted by anti-polymerase drugs, including the approved drugs Sofosbuvir and Ribavirin."
4,"The results suggest the effectiveness of Sofosbuvir, IDX-184, Ribavirin, and Remidisvir as potent drugs against the newly emerged HCoV disease."
0,"Oseltamivir has not been shown to have efficacy, and corticosteroids are currently not recommended."
4,"Seeking to increase supply of Avigan, an influenza drug that may be effective against COVID-19, Fujifilm has signed up two pharmaceutical chemical outsourcing partners. "
4,"Over 200,000 people worldwide could receive the old antimalarial drugs chloroquine and hydroxychloroquine across more than 130 clinical trials designed to treat or prevent COVID-19, according to the US clinical trials database. "
2,"Intravascular fibrin generation has been described during the last decade as an effector of innate immunity: activation of coagulation generates thrombin which drives many amplifications pathways."
2,"The lopinavir and ritonavir are used as a regimen single-agent or combination with either ribavirin or interferon-α."
2,"The same group also published the results of 80 COVID-19 patients receiving a combination of HCQ and azithromycin."
2,"New York 12 ""No pharmacist shall dispense hydroxychloroquine or chloroquine except when written as prescribed for an FDA-approved indication; or as part of a state approved clinical trial related to COVID-19 for a patient who has tested positive for COVID-19, with such test result documented as part of the prescription."
4,"For certain scenarios, next to quarantine, we also inject infected 88 individuals with an antiviral drug (i.e., Remdesivir)."
4,"For ""remdesivir"" a medium Pearson correlation coefficient (r = 0.300, p < 0.05) was found."
4,"One promising example could be remdesivir, which interferes with the viral polymerase and has shown efficacy against MERS in mouse models33."
4,"Many pharmacists were not sure about the role of hydroxychloroquine (12%) and 29% of them thought it has been used as a preventative therapy against the coronavirus infection."
2," isoflavone 360 inside the receptor-binding site of SARS-CoV-2 3CL pro , showing hydrogen bonds with the 361 catalytic dyad (Cys-145 and His-41)."
4,"Remdesivir was also tested for treatment of ebolavirus infections in humans (and found to be less successful than other treatments by Mulangu et al., 2019) ; therefore, safety data exist for this therapeutic agent, which should accelerate the process of clinical testing against SARS-CoV-2."
4,"The efficacy of remdesivir (Gilead Sciences), a nucleotide analog, in inhibiting in vitro and in vivo SARS-CoV-1, MERS-CoV and bat CoV strains that are capable to replicate in human airway epithelial cells render it a good choice for testing on newly affected COVID-19 patients (85,101-103)."
2,"Tocilizumab is a recombinant humanized monoclonal antibody binding to IL6 receptor and inhibiting its signal transduction."
2,"Other drugs that target this subnetwork include Masitinib, Erlotinib, and Sorafenib, which could be further examined in downstream analyses."
2,"Before Coronavirus emergency, our protocol required that patients perform blood test and hospital visit every 4 weeks; after March 8 th 2020 (Prime Minister Decree-law, in Italy), we still had 10 patients in treatment with metronomic vinorelbine."
0,"As can be seen in the two cases, both received lopinavir/ritonavir and hydroxychloroquine but showed persistent fever, rapidly aggravated hypoxemia and progressive bilateral infiltrations in accordance with the criteria of severe ARDS."
0,"A meta-analysis conducted with a total of 6548 patients with influenza pneumonia (H7N9 or H1N1), found the use of systemic GCs (methylprednisolone with different dose ranges, when reported) associated with higher mortality rate (risk ratio [RR] 1.75, 95% confidence interval [CI] 1.30-2.36, Z = 3.71, P = 0.0002), longer intensive care unit permanence and higher rate of secondary infection [44] [45] [46] ."
4,"Clinical studies conducted in COVID-19 patientsIn the positive background of successful in-vitro data and in the situation of an emerging epidemic, the Chinese authorities issued a consensus statement for the use of chloroquine in COVID-19 patients."
2,"One of the findings here suggests that the max number of days per year that Italian provincial capitals can exceed the limits set for PM10 (particulate matter 10 micrometers or less in diameter) or for ozone, considering the meteorological condition has to be less than 50 days."
4,"There are cogent reasons to suggest that a combined treatment modality might be required to obviate upstream SARS-CoV-2 lung tissue binding with hydroxychloroquine or bromhexine, or instead with antivirals, together with downstream IL-6 blockade by sarilumab or tocilizumab (Figure 1 )."
4,"In order to verify whether targeted IL-6, may potentially be the effective and safe way to reduce mortality of COVID-19, 21 patients diagnosed as severe or critical COVID-19 from The First Affiliated Hospital of University of Science and Technology of China and Anhui Fuyang Second People’s Hospital were recruited and given tocilizumab therapy (Table 1)."
4,"This mechanism is the basis of the rationale for the administration of tocilizumab, a monoclonal antibody that inhibits ligand binding to the human interleukin-6 receptor (IL-6R), which was recently approved in China to reduce lung complications in patients with SARS-CoV-2 infection [2] ."
4,"As mentioned above, sofosbuvir is (metabolized to the active drug and) capable of efficient controlling of this type of virus inside the epithelial cells."
4,"Remdesivir works against coronaviruses closely related to SARS-CoV-2 in animal models, as well as against the related MERS-CoV, including in NHPs (Agostini et al., 2018; Brown et al., 2019; de Wit et al., 2020; Sheahan et al., 2017 Sheahan et al., , 2020 ."
0,"Blood biochemistry detection found that several indices related to organ injuries, including lactose dehydrogenase (LDH), aspartate aminotransferase (AST), estimated glomerular filtration rate (eGFR), and sodium ion concentration, were significantly different between grade 3-group COVID-19 patients and non2019-nCoV-infected pneumonia patients."
4,"In many jurisdictions, the laws and regulations are taking ""The joint statement is in response to reports of physicians and others prophylactically prescribing, medications currently identified as potential treatments for COVID-19 (e.g., chloroquine or hydroxychloroquine, azithromycin) for themselves, their families, or their colleagues."
4,"9Multiple prospective, randomized trials of hydroxychloroquine are now underway and will, in due course, provide valuable information about safety and efficacy."
4,"Potential compounds are available for further investigation such as EIDD-2801 (isopropyl ester of N4-hydroxycytidine), Sofosbuvir, IDX-184, Ribavirin and Remidisvir may be considered as its high therapeutic potential in treating emerged viral infection (Wang et al., 2020b, Elfiky, 2020)."
4,"Despite these findings, there has been a study going on to repurpose the utility of sofosbuvir, a ribonucleic acid (RNA)-dependent RNA polymerase inhibitor used in the treatment of hepatitis C along with ribavirin in COVID-19 patients."
4,"The data have shown that 68% of severe patients have relieved symptoms after using remdesivir and the mortality of those patients is 13%, which is noteworthy though these findings need to be confirmed in the ongoing randomized, placebo-controlled trials of remdesivir therapy for COVID-19 [9] ."
4,"Nevertheless, the United States Food and Drug Administration used its emergency authority for only the second time ever to permit the use of a drug for an unapproved indication 8 in the case of hydroxychloroquine for Covid-19 in situations where clinical trials are unavailable or infeasible."
0,"Furthermore, the efficacy of hydroxychloroquine has not been thoroughly established for COVID-19 # using simple linear regression, $ using multiple linear regression, * significant at 0.05 significance level."
2,"Ibuprofen and thiazolidinediones have also been shown to do the same viii,ix ."
4,"Based on work conducted in our lab, we recommend the concomitant use of low dose hydroxychloroquine with an anti-inflammatory drug to help mitigate the cytokine storm in critically ill SARS-CoV-2 patients."
4,"However, oxidative agents containing mouth rinses with 1% hydrogen peroxide or 0.2% povidone-iodine are recommended."
4,"Among these inhibitors tested, the high concentrations of drugs were required to inhibit SARS-CoV-2 replication in amprenavir (EC 50 = 31.32 µM, CC 50 > 81 µM, SI > 2.59), darunavir (EC 50 = 46.41 µM, CC 50 > 81 µM, SI > 1.75), and indinavir (EC 50 = 59.14 µM CC 50 > 81 µM, SI > 1.37) (Fig."
4,"Of course, it is too early to conclude the direct antiviral effect of remdesivir on enhanced clearing of viral loads in the respiratory tract, but it indeed suggests a promising therapeutic effect of remdesivir."
2,"Therefore, repurpose of existing antiviral agents including interferon, chloroquine (an antimalarial agent) and niclosamide (a broad spectrum anthelminthic) have attracted considerable attention and many trials are underway (4, 5) ."
2,"Also, due to the existence of an amino acid proline in the polybasic cleavage site, which makes the inserted sequence PRRA, there are three O-linked glycans introduced to the 2019-nCoV RBD residues S673, T678, and S686 (7).SARS-CoV2 receptor binding domain contains six amino acids providing favorable positions for binding to human ACE2 When compared to SARS-CoV S B , the motif binding the human ACE2 to the SARS-CoV 2 S B showed a relatively higher binding affinity for human ACE2 as indicated in smaller equilibrium dissociation constant (2.9 nM vs. 7.7 nM) (3) ."
4,"Interestingly chloroquine has been shown to be effective in reduction of viral replications including COVID-19."
4,"Panel A shows viral loads andPanel B shows infectious virus titers in BAL collected from rhesus macaques infected with SARS-CoV-2 and treated with remdesivir (red circles) or vehicle solution (black squares)."
2,"All of them had data on plasma AngII, renin and aldosterone in the lying position without sodium restriction."
0,"Smokers Are Living on the EdgeThe likeliness of COVID-19 patients to contract neurological infections can beexacerbated by secondary factors like smoking, which according to a pilotstudy can enhance the chances of contracting COVID-19 based neuroinfectionsdue to the functional interactions between hACE2 and the nicotinic receptor(nAChR).8 The same study reports that due to thecoexpression of hACE2 and nicotinic acetylcholine receptor (nAChR) in manycells, there exists a functional link between them."
2,"In this context, there is an ongoing worldwide debate regarding the use of angiotensinconverting enzyme (ACE) inhibitors and ibuprofen in patients with COVID-19."
0,"However, toxicities are substantial including severe cytopenias, hepatotoxicity (including fatality), neuropsychiatric events, and risk of developing fatal or life-threatening ischemia or infection, particularly when combined with ribavirin."
0,"ibuprofen could worsen COVID-19 symptoms, despite the fact that there is currently no scientific evidence to support this claim."
4,"TKIs could be tried as further options: in different models of inflammations, Bosutinib showed optimal anti-inflammatory properties, already demonstrated by its ability of reverting the pro-inflammatory effects of Dasatinib."
4,"On the basis of these investigations, we believe that hydroxychloroquine can be effective in preventing respiratory tract invasion in HCWs exposed to SARS-CoV-2 and that hydroxychloroquine administration as a prophylactic agent could be particularly useful for HCWs attending to high-risk procedures on the respiratory tract in COVID-19 patients."
4,"It is thought to cause local inflammation, and it is expected that the antiviral and anti-inflammatory effects of ciclesonide will be effective in treating lung injury caused by coronavirus, which is becoming more severe."
4,"COVID-19 THERAPY Nafamostat is a synthetic serine protease inhibitor and a potent inhibitor of MERS CoV."
4,"suggests that tocilizumab is an important therapy in serious COVID-19 patients, which offered a new therapeutic approach to this deadly infectious disease79."
4,"In China and South Korea lopinavir 200 mg/ritonavir 50 mg has already been used for the treatment of COVID-19."
2,"In 2019-nCoV nsp12, the 2' hydroxyl of the incoming NTP is likely to form hydrogen bonds with T680 and N691 in motif B (Figs."
4,"There is also data suggesting that statins might enhance angiotensin converting enzyme 2 (ACE2), which could mitigate the invasion of SARS-CoV-2 through the ACE2 receptor, potentially having a beneficial effect in attenuating risk of infection [18] ; another data, based on in-silico study, showed that pitavastatin, rosuvastatin, lovastatin, and fluvastatin could be efficient SARS-CoV-2 main protease inhibitors [19] ."
0,"According to the results of our study, higher temperature, blood leukocyte count, neutrophil count, neutrophil percentage, C-reactive protein level, D-dimer level, alanine aminotransferase activity, aspartate aminotransferase activity, α - hydroxybutyrate dehydrogenase activity, lactate dehydrogenase activity and creatine kinase activity were related to severe 2019 novel coronavirus pneumonia and composite endpoint, and so were lower lymphocyte count, lymphocyte percentage and total protein level."
2,"It is noteworthy that even pharmaceutical-grade heparin preparations remain a polydisperse mixture of natural products, containing both anticoagulant and nonanticoagulant saccharide structures."
4,"It is of interest that clearance of CMV is enhanced when IBD therapy is added to ganciclovir 32 and that thiopurines and cyclosporine may have anti-coronavirus properties."
2,"The mechanism for intestinal perforation in patients receiving tocilizumab is not fully understood, but prior diverticulitis has been noted as a risk factor [2] ."
4,"At this time, more than ever, the high-quality, robust, comparative evidence from ethical randomized controlled trials (RCTs) is urgently needed to assess patient-important outcomes, including mortality, morbidity, need for life support, safety, and toxicity, informing on the safe use of chloroquine or hydroxychloroquine (with and without azithromycin) in people with COVID-19."
2,"The human host receptor of SARS-CoV-2 is angiotensin-converting enzyme 2 (ACE2), which is highly expressed in the intestines [3] ."
2,"The other atoms of lepidine E forms hydrogen bond with 2019-nCoV protease residues, whereas, NH of both imidazole rings bind to Oxygen atom (of main chain) of Thr24and His164 (with interatomic distances ""ID"" of 2.32 and 2.38Å)."
2,"The Arginine (R) in the conserved motif KRSFIEDLLFNKV that was of interest in the previous study [2] is the cleavage point in S2'.Recall that the KRSFIEDLLFNKV subsequence associated with S2' is potentially important, not least because it must be exposed or exposable (because it permits proteolytic cleavage) and therefore the site cannot be well shielded."
4,"It was strengthened by evidence that remdesivir was successful in both preventing and controlling MERS-CoV-induced clinical disease in nonhuman primates [33]."
4,"Arbidol, a small indole derivative molecule, was found to block viral fusion against influenza A and B viruses and hepatitis C viruses [48] and confirmed to have antiviral effect on SARS-CoV in cell experiment [49] , so that it might be a choice for COVID-19 treatment."
